chq,faq,value
What is the dose of medication for a child with asthma?,I wonder if this patient could have a rotator cuff thing?,0
Patient called in. He is going to Peru and needs malarial prophylaxis. Is malarial prophylaxis needed for Peru and if so what drug is needed?,Is malaria prophylaxis needed for Peru and if so what drug is needed?,1
"I had another lady with a multinodular goiter, diagnosed on ultrasound. They recommended a repeat ultrasound in 6 months, which we did recently and now they are reporting a solid nodule in the lower left lobe, but they said it was smaller than it was previously, but they did not report it on the previous ultrasound, so, ""now what do I do with her?""",What do you do with a lead level of 10 in an 11 month old?,0
How do you diagnose lactic acidosis in someone taking Glucophage (metformin)?  What tests should you order and when should you suspect it?,What is the maximum dose of Dynacirc?,0
How do you interpret Troponin levels?,How do you interpret troponin levels?,1
What is dissociative disorder?  What are the Diagnostic and Statistical Manual (DSM IV) criteria?,What is dissociative disorder?,1
How big does the left atrium have to be before cardioversion for atrial fibrillation is unlikely to be successful (this patient was 5 centimeters)?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
"Is rupture of membranes a contraindication to prostaglandin gel (for example, Cervidil)?",Is rupture of membranes a contraindication to prostaglandin gel?,1
"Here's a good question.  DEXA (Dual-Energy X-Ray Absorptiometry) and computerized tomography bone density are different!  I (investigator) asked her how she would phrase the question.  She said, ""Why is there such a discrepancy and which one should we be using?""",Is melatonin good for anything?  What is the dose?,0
Has the use of prophylactic heparin been studied to prevent pulmonary embolus in patients with congestive heart failure?,"Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.",0
I had an elderly patient with a cerebrovascular accident. New imaging studies. Which is better: computerized tomography or magnetic resonance imaging? When to use contrast and when not to use contrast?,What are Betamol eye drops?,0
"63 year-old woman got worse on Fosamax (decreased bone mass). ""Would you do another bone density scan and if so when, knowing that there is not much else to do for her?""",When should the DEXA (dual energy x-ray absorptiometry) scan be repeated?,1
Is Ticlid better than aspirin for stroke and transient ischemic attack (TIA) prevention?,Is Ticlid better than aspirin for stroke and transient ischemic attack prevention?,1
"A woman with bad acne, status post bilateral tubal ligation is on Accutane. Dermatologist put her on oral contraceptive too. Why?",Patient status post bilateral tubal ligation on Accutane for acne. Dermatologist put her on oral contraceptives too. Why?,1
"A reference says you should monitor complete blood counts (CBCs) and liver functions when on Klonopin, but how often?","A reference says you should monitor complete blood count (CBC), liver function tests on Klonopin, but how often?",1
"19-year-old coming in with ""vitiligo.""  He said this before seeing the patient.  He said, ""Let's just look this up as he pulled a reference off his shelf.  Before he had a chance to look anything up, I (investigator) said, ""Before you look, what's the question?""  He said, ""Oh, just is there any treatment? And how to distinguish from that fungal infection?",Is upset stomach a side effect of Glucotrol? Hadn't seen that before.,0
"47-year-old woman with rash, no better.  The question is what is this rash from and how to treat it?",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"German exchange student. German physician said she needs another diphtheria-tetanus immunization. But I looked at her records from Germany and she was fully immunized, just had one 2 months ago. So what do you do?","German exchange student, German physician said she needs diphtheria-tetanus toxoid but fully immunized.",1
How do you treat the four common kinds of headache?,Patient status post bilateral tubal ligation on Accutane for acne. Dermatologist put her on oral contraceptives too. Why?,0
How much bicarbonate should be added to Xylocaine to buffer it to make the injection less painful?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"How are standard errors, standard deviations, and variances related to each other?",How do you inject the bicipital tendon?,0
3-year-old boy.  Bullous myringitis.  I'm curious to know if there is any need to give different treatment from the usual otitis media.,Is it necessary to use a different antibiotic for bullous myringitis?,1
5-year-old girl with tinea capitis. What is the dose of griseofulvin?,What is the dose of griseofulvin?,1
"The mother of this 2-year-old boy says he is drinking 10 ounces of milk per day. ""How much milk one should drink per day?""","Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
Is softening of the cervix helpful in diagnosing preterm labor (apart from effacement and dilatation)?,How should I treat polymenorrhea in a 14-year-old girl?,0
"55-year-old woman has had breast cancer. Her question to me was, ""What can I do to make sure I don't get ovarian cancer?"" ""So screening."" I think there might be a risk of ovarian cancer in a woman with breast cancer. I'm not sure. Is there a role for ultrasound or CA 125 (cancer antigen 125) in this situation?",What is the cause and treatment of this old man's stomatitis?,0
Does her bulging fontanelle relate to her congestive heart failure?  Would you do something more about the bulging fontanelle like an ultrasound or head computerized tomography (CT)?,Does her bulging fontanelle relate to her congestive heart failure?  Would you do ultrasound or head computerized tomography (CT)?,1
An adult diabetic with a fever for 4 days. I don't know what's causing the fever. I don't know if it's just viral or what.,Patient had carcinoid removed. What urine test should be done to follow up?,0
What is the dose of Bactrim for this 40-pound child?,Let's give these immunizations. That's right isn't it?,0
"41-year-old with wrist pain for one month. X-ray showed avascular necrosis (didn't get which bone). We got a magnetic resonance imaging which showed ""DRUJ effusion"" and something about ""TFCC."" I had to ask an orthopedist to help me interpret the report.",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
What is causing her to be nauseated? (Persistent nausea and some diarrhea.) Could her anesthesia have caused this? (Had total knee replacement 4 to 6 weeks ago).,"Patient with malignant melanoma; on pathology report, how to interpret Clark levels?",0
What would cause white fingernails for 4/5 and the distal nail is red (Terry nails) (patient with liver failure)?,What would cause white fingernails for 4/5 and the distal nail is red?,1
"Three-and-a-half-month-old boy with the worst case of infected eczema I've ever seen.  ""My question is, did the Elidel cause or perpetuate the infection?""",Let's give these immunizations.  That's right isn't it?,0
"Eleven-year-old boy with Down syndrome.  Sleep apnea can increase the thyroid stimulating hormone but by how much and is that because night time growth hormone suppresses and overlaps somehow with the rest of the pituitary?  ""I wanted to know if there was a special antibody I should get.""",Let's give these immunizations.  That's right isn't it?,0
"The physician showed me the lipid panel on a 60-year-old woman. Total cholesterol about 250, triglycerides about 600, high-density-lipoprotein cholesterol 36, low-density-lipoprotein cholesterol 89. ""Which one to start with: Lipitor or gemfibrozil? But my main question is if there is any evidence that omega-3 fatty acids (fish oil) are helpful.""",Are omega-3 fatty acids helpful in hypertriglyceridemia?,1
"5-year-old boy. Luckily this kid can take pills but ""which stimulants come in liquid form?",Which stimulants come in liquid form?,1
50-year-old woman with Helicobacter pylori on biopsy at time of upper endoscopy.  The question is how to treat this.,How should I treat her Helicobacter pylori?,1
"Email question from study physician: ""A question we've had difficulty finding the right answer for: What is the normal alkaline phosphatase value for a 10-year-old girl?""",What is the normal alkaline phosphatase for a 10-year-old?,1
What is the treatment for this rash?,How should I treat polymenorrhea in a 14-year-old girl?,0
What anticoagulation should patients get after a fractured hip?  What does that official guideline publication say?,What size pills does digoxin come in?,0
Which incubation drugs and what doses does this patient need?,What is the dose of Famvir? I thought 500 milligrams three times a day but New England Journal of Medicine article says 750 milligrams.,0
What is the normal respiratory rate for a two-month-old who was born at 34-weeks gestation and just normal vital signs for infants in general?,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
How do you know where the outer extent of the transformation zone is?,How should I treat polymenorrhea in a 14-year-old girl?,0
40-year-old guy with an ileal conduit.  What is an ileal conduit?,What is an ileal conduit?,1
"How much does lovastatin (Mevacor) and other lipid lowering agents (for example, Lipitor) cost?",How much do lovastatin and other lipid lowering agents cost?,1
What is the dose of Vanceril inhaler?,What is the dose of Vanceril inhaler?,1
"New onset, unexpected thrombocytopenia -- What to do with it? Blood went to reference lab. I wonder if sitting in the tube in the courier's car would do that.",How do you inject the bicipital tendon?,0
Can you give the measles-mumps-rubella vaccine and chickenpox vaccine at the same time?  She asked her nurse who said yes.,Can you give the measles-mumps-rubella vaccine and chickenpox vaccine at the same time?,1
Is Verelan 240 milligrams scored? Verelan is expensive and this would be a way to cut costs (split the larger pill in half).,Is Verelan 240 milligram scored? It's expensive and this would cut costs.,1
"The physician said, ""That's my question.  If the glycosylated hemoglobin is good and the 3-day monitor shows wide swings, would it be even better if the monitor was a flat line rather than up and down?  If the lows are averaged with the highs, is that just as good as having less wide swings?""","If the glycosylated hemoglobin is normal, does it matter if there are wide swings in blood sugar?",1
"62-year-old man with cheilitis.  ""What causes cheilitis and how do you treat it?  I'm always puzzled by that.",What causes cheilitis?,1
"35-year-old woman came in with ankle injury. X-ray showed no fracture but there was a large lesion in the distal tibia. ""I'm going to look up bone tumors because I don't know anything about bone tumors.""",Patient reluctant to take medication. How to control hypertension and still get her cooperation?,0
"Ten-year-old male referred with developmental delay (age 4) and attention-deficit-hyperactivity disorder, on Strattera.  ""When do you use Strattera and why would you use that out of the gait (rather than a stimulant)?""",What are the indications for Strattera?,1
Of what value is it to know the A-a gradient (alveolar-arterial difference) on blood gases?  How is it used clinically?,Of what value is it to know the A-a gradient (alveolar-arterial difference) on blood gases?,1
47-year-old man with a gallbladder polyp on right-upper-quadrant ultrasound.  I didn't know what to do.  Do you follow it or what?,How do you manage gallbladder polyps?,1
How good is the triple screen at predicting Down syndrome?,How good is the triple screen at predicting Down syndrome?,1
What is glatiramer (Copaxone)? A treatment for multiple sclerosis.,What is glatiramer?,1
"Please inform me of the recommended treatment and prevention protocol for mite infestation in humans, particularly one that is non-toxic or has minimal side effects.
			",Is it safe to take medications with wine at dinnertime?,1
Can prednisone be used to treat alcoholic hepatitis?,Can prednisone be used to treat alcoholic hepatitis?,1
74-year-old man in for physical exam. He had some weight loss and a mild anemia (hemoglobin 11). Ferritin was 2000. I looked up the causes of a high ferritin.,How should you evaluate a patient with a renal cell carcinoma before surgery?,1
What are the indications for a 24-hour blood pressure monitor?,Young man with recurrent peptic ulcer disease; do vagotomy? Will health maintenance organization pay?,0
"How do you interpret different ankle/brachial blood pressure indices?  What's bad, what's normal, is there a cutoff ratio for considering surgery?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What are the causes of chronic perianal dermatitis in kids?  What is in Mycolog II cream?,What is the dose of Sporanox?,0
5-year-old.  At what frequency should you see kids back when they have attention-deficit-hyperactivity disorder?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
"It seems like an inflammatory thing but I'm not sure what's going on (patient with elbow pain, can't straighten elbow).",Patient with elbow pain. Seems like an inflammatory thing but I'm not sure.,1
She dropped a tractor weight on her toes.  4th toe red and infected.  She is pregnant.  Is it safe to use Ceftin during pregnancy?,How do you use Redux?  What are the indications?,0
66-year-old woman.  What to do about patient who is not taking prescribed Coumadin?  She says she is taking it but lab work leads Dr. X to feel quite positively that she is not.,66-year-old female. What to do about patient who is not taking prescribed Coumadin?,1
Is the coccyx fractured? This was the question as the physician was looking at the x-ray of a young girl (about 7 years old).,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
"Old guy with fatigue and poor appetite, smoker, what's causing his fatigue?","Old guy with fatigue and poor appetite, smoker, what's causing his fatigue?",1
What are symptoms of brown recluse and black widow spider bites versus stings from other bugs?,What are symptoms of brown recluse and black widow spider bites?,1
"Are beta blockers contraindicated in hypertrophic cardiomyopathy (idiopathic hypertrophic subaortic stenosis, IHSS)?",Let's give these immunizations.  That's right isn't it?,0
Who should get carotid endarterectomy?  What are the indications?,What is the cause and treatment of this old man's stomatitis?,0
"How do you inject the subacromial bursa (shoulder pain, rotator cuff)?",How do you use Redux?  What are the indications?,0
What causes dysequilibrium? (not vertigo or near syncope),Why did she get Coccidiomycosis?,0
She sees a psychologist to help with depression.  She's on 40 of Paxil.  She started to have sleep apnea symptoms.  Is Paxil associated with sleep apnea?,Can you use Prozac along with lithium?,0
I would like him to stop working but he can't because he just started a new job. What to do?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What should I know about neonatal sepsis?,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Do koilocytes on Papanicolaou smear or endocervical curettage (ECC) or colposcopy biopsy always come from human papilloma virus (HPV)?,Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?,0
What would cause back pain following intercourse (ejaculation)? Would prostatitis do it?,Is melatonin good for anything? What is the dose?,0
What causes hand and foot paresthesias? Can captopril do it?,What is the drug of choice for epididymitis?,0
What is Lotrel?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Can fever be a result of hives (urticaria)?,Can you use Prozac along with lithium?,0
Do nonsteroidal anti-inflammatory drugs (NSAID's) cause hypertension? How commonly?,How do you inject the bicipital tendon?,0
How do you diagnose cor pulmonale and how do you treat it?,Organic personality disorder patient. What to do with subtherapeutic Depakote level?,0
How do you work up and treat pruritus ani (perianal dermatitis)?  What are the causes? (pruritis ani),Is it worth using hormone replacement therapy in this woman with spotting who will need endometrial biopsy?,0
"I tend not to believe drug representatives, but are there real differences in the gastrointestinal side effects among various nonsteroidals? (Said this while pulling samples of Relafen off the shelf to give to patient.)",What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
"Over 90-year-old inpatient with severe congestive heart failure on Coumadin. She was having shortness of breath, and it was paroxysmal, so I got a ventilation-perfusion scan and this showed high probability for pulmonary embolus. The question is, should she get a filter. I didn't do her leg veins, but even if they were normal, should she get a filter?",Should this patient get a vena cava filter?,1
How long do I administer antibiotics?,How long do I administer antibiotics?,1
How do you report a Bonferroni correction to the p-value?,"Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.",0
How old should a patient be before I quit doing prostate specific antigens (PSA's)?,How old should a patient be before I quit doing prostate specific antigens?,1
"Which is better to diagnose lumbar spinal stenosis or disc disease, computerized tomography (CT) or magnetic resonance imaging (MRI)?","Which is better to diagnose lumbar spinal stenosis or disc disease, computerized tomography or magnetic resonance imaging?",1
"We saw this lady with a history of renal stones and hypercalcemia. The parathyroid hormone was 5 (normal 10 to 65), the calcium was about 9 (normal) and the phosphorus was about 2.0 (should be greater than 2.5). ""So it's like, OK, what do we do with this now?""",What is the evaluation of a low phosphorus?,1
Five-year-old boy with a distal radius fracture (buckle fracture).  Should I use a long arm cast or short arm?,Should I use a short- or long-arm cast for a buckle fracture?,1
What would cause a low lactate dehydrogenase and low alkaline phosphatase?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"Two-year old girl with Kawasaki's diagnosed about 7 days into her illness.  Put on high-dose aspirin.  ""I'm not familiar with aspirin toxicity.  The kid is a little tachycardic.""  The question was whether aspirin toxicity could cause tachycardia.","Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?",0
What are some of the psychodynamics? This is the first time I've seen her. She's seen my colleagues but I can't get everything from the records. I'm sure there's more because her complaint is fatigue. There's more to it than just adjusting her asthma medications.,What are the psychodynamics? More here than just adjusting her asthma medications.,1
What is the dose of compazine spansules?,What is the dose of compazine spansules?,1
What is the dose of PremPro?,Patient reluctant to take medication. How to control hypertension and still get her cooperation?,0
What dose of folic acid should be taken when a patient is trying to get pregnant?,What is the bulletin for patients with Crohn's and how to get them on mailing list?,0
Which antihypertensives do not work as well in African Americans?,Which antihypertensives do not work as well in African Americans?,1
What is the dose of Tamiflu?,What is the dose of Tamiflu?,1
What virus is this?,What virus is this?,1
44-year-old man has been seeing a chiropractor for neck pain. Then had motor vehicle accident and neck got worse. Orthopedist said nothing wrong with neck. Patient came to Dr. X at suggestion of his lawyer. Dr. X never saw him before and didn't want to see him now. He will go ahead and give his opinion but the question is what to do in a situation like this.,Pleomorphic adenoma removed from carotid artery. Is this a benign condition?,0
Doctor X saw a 73-year-old woman with a history of sarcoidosis in 1957.  Patient wanted a follow-up chest x-ray.  What is the recommended follow-up for sarcoidosis?,What is the recommended follow-up for sarcoidosis?,1
How do you use labetalol to acutely lower blood pressure?,Probably a normal 18 month old but how many respiratory infections are normal?,0
What is the medical term for a groin muscle pull?  Is it a described entity?  How do you diagnose it and how is it treated?,What is the medical term for a groin muscle pull?,1
Had shoulder injury and after repaired was about to return to work but developed severe hives requiring steroids.  What caused the hives?  Was it angioedema due to being stressed about returning to work?,"Prolapsed uterus, urinary problems. Would hysterectomy alone resolve urinary problem?",0
Where do you find articles on tinnitus? Dr. X discussed referral but feels probably no one does anything to treat it and there are many people who have it.,"Obstetric patient, 39 weeks had a little sore, ? herpes. How long after she heals is it safe to do a vaginal delivery?",0
"2-year-old with otitis media.  What is the dose of Augmentin?  Then he remembered she was allergic to penicillin and the question became, ""What is the dose of Biaxin?""",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What is the cause of this patient's tremor?  What is a benign tremor?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"If a patient is referred by an optometrist because of small retinal hemorrhages, what workup should be done for systemic disease?","If a patient is referred because of small retinal hemorrhages, what workup should be done?",1
What should be monitored for this kid that swallowed crack cocaine?,What should be monitored for this kid that swallowed crack cocaine?,1
"Regarding a two-month-old I referred to a tertiary center with a positive blood culture, the spinal fluid had 4 cells in tube number 2 and 2 cells in tube number 3.  ""I think that's within acceptable limits, let's see.""",What is the normal number of white cells in spinal fluid?,1
What is causing this patient's rapidly progressing memory loss?,What is causing this patient's rapidly progressing memory loss?,1
"This is a woman who I think has benign positional vertigo.  ""How would you prove that this is not a central problem?""",How can you be certain that vertigo is peripheral origin?,1
This patient was hospitalized and found to have rectal carcinoid. The question was treatment and how often do they metastasize.,Probably a normal 18 month old but how many respiratory infections are normal?,0
Last week I had a 3-week-old boy with pyloric stenosis.  I looked up pyloric stenosis to see if ultrasound is still the test of choice.,"Second infectious mononucleosis test negative. Is it a false positive (sic, meant negative)?",0
What are the toxic effects and treatment of Tegretol overdosing?,What are the toxic effects of Tegretol?,1
How should a woman with known diethylstilbestrol exposure be followed? Iodine? Colposcopy?,How should I treat polymenorrhea in a 14-year-old girl?,0
How much does Hytrin cost? Is there a generic?,How much does Hytrin cost?,1
How do you work up an elevated partial thromboplastin time?,How do you workup an elevated partial thromboplastin time?,1
"What are the questions in the American Urological Association's (AUA) score for prostate symptoms (bladder neck obstruction symptoms, benign prostatic hypertrophy)?  (Also called American Urological Association (AUA) Symptom Index.)",What are the questions in the American Urological Association's score for prostate symptoms?,1
Should we be screening for prostate cancer routinely with the prostate specific antigen?,What is the cause and treatment of this old man's stomatitis?,0
"8-year-old girl with angioneurotic edema.  Mother said, ""the only thing that works for her is Zithromax.  ""I said, don't you mean Zyrtec.  She said, no Zithromax.  I (investigator) asked how he would phrase the question.  He said, ""Has Zithromax ever been shown to be effective for angioneurotic edema and if so what's the mechanism or is this just a fluky thing?""",Is Zithromax effective for angioneurotic edema?,1
What asthma inhaler is blue and white?,What is in Ortho Novum 1/35?,0
"Same immunocompromised woman had pulmonary embolus, smoker, on oral contraceptives. If her chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful or is that always going to be abnormal for her?",I wonder if this patient could have a rotator cuff thing?,0
"In failure to thrive cases, what is the difference between inadequate height and inadequate weight?","In failure to thrive cases, what is the difference between inadequate height and inadequate weight?",1
"43 year-old female has had rash for approximately 1 year, has gotten worse. ""What is the cause of this rash?"" He said he knew what it was but needed to know the name of it - 3rd book he looked at finally had a good picture.",What are the indications for getting a digoxin level?,0
What are the concentrations of all the iron preparations?,What are the concentrations of all the iron preparations?,1
"We had a kid, 5-year-old, with a fever of 104, headache, dizziness, hallucinations. We thought it was the flu, but did a lumbar puncture, and the fluid was clear, looked good. But had some trouble getting the fluid. The next night he wouldn't walk, wouldn't lay down, crying with pain, would not bear weight. So I called my partner and said, ""What do you think?"" ""All right, what is this?""",What are the doses of Solumedrol and Claforan for an 8-year-old female?,0
57-year-old man with a chronic obstructive pulmonary disease exacerbation.  At what duration of steroid treatment do you need to taper off instead of just stopping without tapering?,At what duration of steroid treatment should you taper rather than just stop?,1
"We saw this lady with a history of renal stones and hypercalcemia.  The parathyroid hormone was 5 (normal 10 to 65), the calcium was about 9 (normal) and the phosphorus was about 2.0 (should be greater than 2.5).  ""So it's like, OK, what do we do with this now?""",Patient had synovitis of thumb (with stenosing).  How to treat?,0
What is the adenosine-thallium exercise tolerance test?,How should you adjust the birth control pill if someone has spotting on it?,0
Morbidly obese (388 pounds). Eats a lot. Had a piece of pie before clinic visit so can't have blood work today. Is there something about the patient's sugar that makes him eat so much and is this (overeating) typical of other or all overweight people?,Obese (388 pounds). Is there something about patient's blood sugar that makes him eat so much?,1
What is the differential diagnosis of sinus tachycardia in a 10-year-old?,What is the approach to a child with sinus tachycardia?,1
What are the guidelines for tuberculin skin test interpretation?,What are the guidelines for tuberculin skin test interpretation?,1
"What is the significance of temperature instability, especially low temperature, as a sign of neonatal sepsis?","Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
Cephalexin did not work on his bronchitis.  What antibiotic should I use now?,Is there a better way to introduce the subject of sexually transmitted disease?,0
What is the most common etiology of hypothyroidism in a teenager?,What is the most common etiology of hypothyroidism?,1
"How much vomiting is normal in an infant (for example, reflux) and how much should make you think of pyloric stenosis?",How do you use Redux? What are the indications?,0
Is the Atkins diet any good? Is it safe?,What size pills does digoxin come in?,0
2-year-old boy with fever and back pain.  What is the normal range for the white blood count in a 26-month-old?,I wonder if this patient could have a rotator cuff thing?,0
Is it normal for an infant to have a diastasis recti (separation of the rectus muscles with protrusion of the abdomen)?,Let's give these immunizations.  That's right isn't it?,0
"One year and 10-month-old boy removed from his home because of parental neglect. Caretaker says he often cries like he's in pain, possibly abdominal pain. Not eating, just drinking liquids, not sleeping. The big question with him: ""Is it something physical or all adjustment disorder?""",Is this child's crying due to adjustment disorder?,1
Has a rash that is not getting better.  How should I treat it?  Would Cordran be appropriate?,Rash not getting better. How should I treat it? Would Cordran be appropriate?,1
What are the glucose protocols for this infant?,What are the glucose protocols for this infant?,1
Is there an organized way to look at a fetal heart rate monitoring strip?,At what ages should you do a Denver Developmental Screening Test?,0
What is causing her abdominal pain? Stress versus ulcer disease?,What is causing her abdominal pain? Stress versus ulcer disease?,1
How clinically important is the interaction between oral contraceptives and antibiotics? Does a patient on oral contraceptives with acne for whom you want to give tetracycline need to use an alternative method of contraception?,How clinically important is the interaction between oral contraceptives and antibiotics?,1
What is the next step in the workup of a patient with a high free T4 (free thyroxine) and a low thyroid stimulating hormone (TSH)?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
Is Aeromonas caviae pathogenic?,Is Arthiritis contagious?,0
How do you do a modified Apt test for fetal hemoglobin where you put the sodium hydroxide directly on the bloody material on the diaper?,Why did she get Coccidiomycosis?,0
"78-year-old woman with anemia, possibly caused by her angiotensin converting enzyme inhibitor. After we switch her to Cozaar, how soon would you expect her to correct?",At what ages should you do a Denver Developmental Screening Test?,0
Earlier had been seen for vaginal bleeding. Ultrasound now shows 14-week viable fetus with adjacent blood clot the size of the fetus. Hemoglobin 10 so probably had a significant bleed. What is the most appropriate way to treat a pregnancy with a viable fetus?,What is the best way to treat pregnancy with a viable fetus and adjacent blood clot?,1
Is one shot of Rocephin adequate treatment for otitis media?,Is one shot of Rocephin adequate for otitis media?,1
I saw an 8-year-old girl who kept getting streptococcal sore throat so I cultured the whole family. What is the best antibiotic for the carrier state?,How should I workup this baby with a single umbilical artery?,0
She needs an antihistamine-decongestant. I'd like to give her a nonsedating antihistamine but Title XIX says you have to try a cheap sedating one first. Which one will they pay for?,She needs an antihistamine-decongestant. Which one will Title XIX pay for?,1
"23-year-old woman with Graves disease.  She developed an absolute neutrophil count of 30 on Tapazole (total white count 3000, 1% neutrophils).  Is there any cross reactivity between Tapazole and propylthiouracil?  Is it safe to start propylthiouracil?",Is propylthiouracil safe in a patient who got neutropenic on methimazole?,1
What order should the various colposcopy procedures be done?  What are the possible abnormal findings?  What percent acetic acid?  When cytobrush?  Bethesda system translation?  Transformation zone versus squamocolumnar junction?,What order should the various colposcopy procedures be done?,1
Can stethoscopes act as fomites?  Can they transmit infection from one patient to another?,How should I treat polymenorrhea in a 14-year-old girl?,0
Should the HDL (high-density-lipoprotein) cholesterol plus the LDL (low-density-lipoprotein) cholesterol equal the total cholesterol?,Should the HDL (high-density-lipoprotein) cholesterol plus the LDL (low-density-lipoprotein) cholesterol equal the total cholesterol?,1
"A woman complaining of halitosis.  Had it a long time.  Her (the patient's) question was, ""Anything we can do about it?""",What is this rash? It's probably Rhus. Could be cutaneous larva migrans.,0
"What are the indications for and dose for ticlopidine (Ticlid), Plavix (clopidogrel) and aspirin for prevention of transient ischemic attack and stroke?",How should I treat polymenorrhea in a 14-year-old girl?,0
42-year-old woman got 7 days of antibiotics for a cellulitis on her finger.  Some use 7 days.  Some use 10.  Some use 14.  I know it's been studied for streptococcal pharyngitis and urinary tract infections but cellulitis?,How should I treat polymenorrhea in a 14-year-old girl?,0
"21-year-old woman, has been on cholesterol medications, on massive doses of things, well not massive, but she's on Lipitor and Lopid and then Tricor.  Triglycerides 415, cholesterol 157, high-density-lipoprotein cholesterol 26, low-density-lipoprotein cholesterol cannot calculate.  I asked my partner, ""What would you do with this girl?""",What is the treatment for elevated triglycerides and low high-density-lipoprotein-cholesterol?,1
Two-day-old.  Why are infants of diabetic mothers more likely to have polycythemia?,How do you inject the bicipital tendon?,0
Is it possible to get gout in the olecranon bursa?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What does the American College of Obstetrics and Gynecology (ACOG) say we should do about toxoplasmosis? A reference seems to indicate that the American College said all women should be screened for toxoplasmosis.,What does the American College of Obstetrics and Gynecology say we should do about toxoplasmosis?,1
How do you make the diagnosis of diabetes insipidus?,What is causing this 70-year-old man's left-sided shoulder pain and numbness?,0
"In this patient with a pituitary adenoma, what antidepressant should be ordered?",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo? It isn't worth the cost of a test to find out.",Is melatonin good for anything? What is the dose?,0
What are normal adult head circumferences?,How should I treat polymenorrhea in a 14-year-old girl?,0
"""What do you do about . . . ? What about . . . ? One of my pet peeves . . . . Do I need to take magnesium for my osteoporosis?""",Do you need to take magnesium to prevent osteoporosis?,1
"What should you do if the low-density-lipoprotein cholesterol (LDL) and total cholesterol are normal, but the high-density-lipoprotein cholesterol (HDL) is low and the triglycerides are high?","Old guy with fatigue and poor appetite, smoker, what's causing his fatigue?",0
When can we use this new gastrostomy tube for this patient with seizures?,Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
What is the initial response to coma in the emergency room (ER)?,Doctor X's partner's patient. What is the reason for the inverted p waves on electrocardiogram?,0
How do you differentiate ventricular tachycardia from supraventricular tachycardia with aberrancy?,"How to stop somebody, with 5 problems, but appointment only long enough for one?",0
"If a child receives his/her pneumococcal vaccine when over a year old, how many more doses are needed?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
She has a 2-month-old tibial plateau fracture and is overweight. The question is whether to let her start bearing weight on it.,"Two month old tibial plateau fracture, overweight. Should she start bearing weight?",1
"""One other question I had today -- differential diagnosis of false positive RPR (rapid plasma reagin).""",What is the differential diagnosis of a positive RPR (rapid plasma reagin)?,1
What would cause a high blood urea nitrogen (75) with a near normal creatinine (1.5)?,How do you inject the bicipital tendon?,0
What should the urine sodium be in someone with Addison's disease? Is 22 consistent?,How should I treat polymenorrhea in a 14-year-old girl?,0
What is herpes gladiatorum? How do you treat it?,What is herpes gladiatorum?,1
Patient had a pleomorphic adenoma removed from her carotid artery. Question is whether this is a totally benign condition.,Pleomorphic adenoma removed from carotid artery. Is this a benign condition?,1
"I (investigator) saw the study physician looking up something in a reference.  I said, ""This looks like a question.""  She said, ""Dose of Zithromax for a 19-pound baby.""",What is the dose of azithromycin?,1
Can Neurontin (gabapentin) be used for chronic pain? Is it a legitimate treatment? Any side effects to worry about?,50-year-old man with Paget's disease. Should I treat medically?,0
He's getting increasingly frequent herpes simplex virus of the lip. Is it related to his chewing tobacco?,Gets frequent Herpes simplex virus of the lip. Is it related to his chewing tobacco?,1
